Mr. Smith Goes to Washington,Alex Novinsky
The Godfather,Alex Rocco
Once Upon a Time in America,Alex Serra
American History X,Alex Sol
A Beautiful Mind,Alex Toma
Oppenheimer,Alex Wolff
The Dark Knight Rises,Alex Ziwak
Schindler's List,Alexander Buczolich
Inglourious Basterds,Alexander Fehling
Once Upon a Time in America,Alexander Godfrey
Die Hard,Alexander Godunov
Finding Nemo,Alexander Gould
Downfall,Alexander Held
Schindler's List,Alexander Held
North by Northwest,Alexander Lockwood
The Sting,Alexander Lockwood
Interstellar,Alexander Michael Helisek
Amadeus,Alexander Oliver
Casablanca,Alexander Pollard
Schindler's List,Alexander Strobele
Forrest Gump,Alexander Zemeckis
Batman Begins,Alexandra Bastedo
Downfall,Alexandra Maria Lara
Rush,Alexandra Maria Lara
Dead Poets Society,Alexandra Powers
The Hunt,Alexandra Rapaport
Before Sunrise,Alexandra Seibel
The Passion of Joan of Arc,Alexandre Mihalesco
Catch Me If You Can,Alexandre Pepin
City of God,Alexandre Rodrigues
Indiana Jones and the Last Crusade,Alexei Sayle
The Lord of the Rings: The Two Towers,Alexia Fairbrother
Pulp Fiction,Alexis Arquette
The Third Man,Alexis Chesnakov
Blade Runner,Alexis Rhee
American History X,Alexis Rose Coen
The Elephant Man,Alfie Curtis
Harry Potter and the Deathly Hallows: Part 2,Alfie McIlwain
Coco,Alfonso Arau
The Treasure of the Sierra Madre,Alfonso Bedoya
Se7en,Alfonso Freeman
The Shawshank Redemption,Alfonso Freeman
12 Years a Slave,Alfre Woodard
Metropolis,Alfred Abel
Catch Me If You Can,Alfred Dennis
Harry Potter and the Deathly Hallows: Part 2,Alfred Enoch
The Grand Budapest Hotel,Alfred Hänel
Dial M for Murder,Alfred Hitchcock
North by Northwest,Alfred Hitchcock
Psycho,Alfred Hitchcock
Rear Window,Alfred Hitchcock
Rebecca,Alfred Hitchcock
Vertigo,Alfred Hitchcock
Spider-Man: Across the Spider-Verse,Alfred Molina
Spider-Man: No Way Home,Alfred Molina
Casino,Alfred Nittoli
The Lord of the Rings: The Return of the King,Ali Astin
3 Idiots,Ali Fazal
A Separation,Ali-Asghar Shahbazi
The Dark Knight Rises,Aliash Tepina
Aliens,Alibe Parsons
City of God,Alice Braga
To Kill a Mockingbird,Alice Ghostley
The Secret in Their Eyes,Alicia Haydée Pennachi
Gone with the Wind,Alicia Rhett
Schindler's List,Alicja Kubaszewska
The Third Man,Alida Valli
Prisoners,Alisa Harris
The Shining,Alison Coleridge
In the Name of the Father,Alison Crosbie
Indiana Jones and the Last Crusade,Alison Doody
American Beauty,Alison Faulk
Logan,Alison Fernandez
Good Will Hunting,Alison Folland
The Sixth Sense,Alison Robertson
Monty Python and the Holy Grail,Alison Walker
Joker,Alissa Bourne
The Lord of the Rings: The Return of the King,Alistair Browning
The Lord of the Rings: The Two Towers,Alistair Browning
In the Name of the Father,Alistair Findlay
Rush,Alistair Petrie
V for Vendetta,Alister Mazzotti
The Lord of the Rings: The Two Towers,Alix Bushnell
Requiem for a Dream,Aliya Campbell
Mr. Smith Goes to Washington,Allan Cavan
Gladiator,Allan Corduner
L.A. Confidential,Allan Graf
Se7en,Allan Kolman
Raging Bull,Allan Malamud
The Lord of the Rings: The Two Towers,Allan Poppleton
The Lord of the Rings: The Two Towers,Allan Smith
Chinatown,Allan Warnick
The Hunt,Allan Wibor Christensen
Dead Poets Society,Allelon Ruggiero
Incendies,Allen Altman
It Happened One Night,Allen Fox
Raging Bull,Allen Joseph
The Dark Knight Rises,Allen Merritt
Singin' in the Rain,Allen Pinson
Singin' in the Rain,Allen Sutherland
American History X,Allie Moss
Requiem for a Dream,Allison Furman
Dead Poets Society,Allison Hedges
American Beauty,Allison Janney
Finding Nemo,Allison Janney
The Help,Allison Janney
"Three Billboards Outside Ebbing, Missouri",Allyssa Barley
It's a Wonderful Life,Almira Sessions
The Dark Knight Rises,Alon Abutbul
One Flew Over the Cuckoo's Nest,Alonzo Brown
The Shawshank Redemption,Alonzo F. Jones
Joker,Alonzo Wright
Forrest Gump,Aloysius Gigl
Rebecca,Alphonse Martell
North by Northwest,Alphonso DuBois
Braveheart,Alun Armstrong
Gladiator,Alun Raglan
Amores Perros,Álvaro Guerrero
Spider-Man: Into the Spider-Verse,Alycia Cooper
The Best Years of Our Lives,Alyn Lockwood
Goodfellas,Alyson Jones
Saving Private Ryan,Amanda Boxer
Room,Amanda Brugel
Heat,Amanda Graves
Klaus,Amanda Philipson
Pulp Fiction,Amanda Plummer
Spider-Man: Across the Spider-Verse,Amanda Troop
"Three Billboards Outside Ebbing, Missouri",Amanda Warren
Spider-Man: Across the Spider-Verse,Amandla Stenberg
3 Idiots,Amardeep Jha
Django Unchained,Amari Cheatom
Amélie,Amaury Babault
Harry Potter and the Deathly Hallows: Part 2,Amber Evans
Toy Story 3,Amber Kroner
There Will Be Blood,Amber Roberts
American Beauty,Amber Smith
L.A. Confidential,Amber Smith
Django Unchained,Amber Tamblyn
Kill Bill: Vol. 1,Ambrosia Kelley
Avengers: Endgame,Ameenah Kaplan
Avengers: Infinity War,Ameenah Kaplan
V for Vendetta,Amelda Brown
The Best Years of Our Lives,Amelita Ward
How to Train Your Dragon,America Ferrera
"The Good, the Bad and the Ugly",Amerigo Castrighella
Life Is Beautiful,Amerigo Fontani
Ben-Hur,Amerigo Santarelli
The Godfather Part II,Amerigo Tot
Requiem for a Dream,Ami Goodheart
Eternal Sunshine of the Spotless Mind,Amir Ali Said
Children of Heaven,Amir Farrokh Hashemian
Warrior,Amir Perets
The Dark Knight,Amit Shah
Catch Me If You Can,Amy Acker
Catch Me If You Can,Amy Adams
The Help,Amy Beckwith
Heat,Amy Brenneman
Inside Out,Amy Poehler
Once Upon a Time in America,Amy Ryder
A Beautiful Mind,Amy Walz
Spotlight,Amy Whalen
The Deer Hunter,Amy Wright
Catch Me If You Can,Ana Maria Quintana
Coco,Ana Ofelia Murguía
No Country for Old Men,Ana Reeder
Pan's Labyrinth,Ana Sáez
The Lives of Others,Anabelle D. Munro
Come and See,Anatoly Slivnikov
The Seventh Seal,Anders Ek
Fight Club,Anderson Bourell
Fight Club,Andi Carnick
Groundhog Day,Andie MacDowell
The Silence of the Lambs,Andre B. Blake
The Passion of Joan of Arc,André Berley
12 Years a Slave,Andre De'Sean Shanks
Amélie,André Dussollier
Downfall,André Hennicke
Warrior,Andre' Mason
Heat,Andre McCoy
Barry Lyndon,André Morell
Ben-Hur,André Morell
The Bridge on the River Kwai,André Morell
Inglourious Basterds,André Penvern
12 Years a Slave,Andre Robinson
Ratatouille,Andrea Boerries
Before Sunrise,Andrea Eckert
Wild Tales,Andrea Garrote
The Godfather Part II,Andrea Maugeri
Spider-Man: Across the Spider-Verse,Andrea Navedo
Raging Bull,Andrea Orlando
Life Is Beautiful,Andrea Tidona
Rush,Andreas Engelmann
Parasite,Andreas Fronk
Inglourious Basterds,Andreas Tietz
Die Hard,Andreas Wisniewski
Amélie,Andrée Damant
La haine,Andrée Damant
The Dark Knight Rises,Andres Perez-Molina
Logan,Andrew Arrabito
Platoon,Andrew B. Clark
The Dark Knight,Andrew Bicknell
Interstellar,Andrew Borba
Ford v Ferrari,Andrew Burlinson
Heat,Andrew Camuccio
Spider-Man: No Way Home,Andrew Dunlap
Hacksaw Ridge,Andrew Garfield
Spider-Man: Across the Spider-Verse,Andrew Garfield
Spider-Man: No Way Home,Andrew Garfield
Dead Poets Society,Andrew Hill
Requiem for a Dream,Andrew Kessler
Se7en,Andrew Kevin Walker
The Lord of the Rings: The Return of the King,Andrew Lesnie
Spider-Man: Across the Spider-Verse,Andrew Leviton
Spider-Man: Into the Spider-Verse,Andrew Leviton
Life of Brian,Andrew MacLachlan
Catch Me If You Can,Andrew Meeks
Spider-Man: Across the Spider-Verse,Andrew Morgado
The Lord of the Rings: The Fellowship of the Ring,Andrew Munro
Inglourious Basterds,Andrew Napier
Batman Begins,Andrew Pleavin
Inception,Andrew Pleavin
1917,Andrew Scott
Saving Private Ryan,Andrew Scott
Goodfellas,Andrew Scudiero
Snatch,Andrew Shield
Finding Nemo,Andrew Stanton
The Incredibles,Andrew Stanton
Toy Story,Andrew Stanton
WALL·E,Andrew Stanton
The Lord of the Rings: The Fellowship of the Ring,Andrew Stehlin
Gran Torino,Andrew Tamez-Hull
"Lock, Stock and Two Smoking Barrels",Andrew Tiernan
The Pianist,Andrew Tiernan
Braveheart,Andrew Weir
Downfall,Andrey Blagoslovenskiy
The Pianist,Andrzej Blumenfeld
The Pianist,Andrzej Pieczyński
Schindler's List,Andrzej Seweryn
The Pianist,Andrzej Szenajch
The Pianist,Andrzej Walden
Schindler's List,Andrzej Welminski
The Pianist,Andrzej Zieliński
North by Northwest,Andy Albin
1917,Andy Apollo
Snatch,Andy Beckwith
V for Vendetta,Andy Callaghan
12 Years a Slave,Andy Dylan
Stand by Me,Andy Lindberg
The Dark Knight,Andy Luther
V for Vendetta,Andy Rashleigh
Spider-Man: Across the Spider-Verse,Andy Samberg
The Lord of the Rings: The Fellowship of the Ring,Andy Serkis
The Lord of the Rings: The Return of the King,Andy Serkis
The Lord of the Rings: The Two Towers,Andy Serkis
The Prestige,Andy Serkis
Snatch,Andy Till
2001: A Space Odyssey,Andy Wallace
Avengers: Endgame,Anele Lundborg
Schindler's List,Anemona Knut
No Country for Old Men,Angel H. Alvarado Jr.
Scarface,Ángel Salazar
The Truman Show,Angel Schmiedt
Scarface,Angela Aames
Avengers: Endgame,Angela Bassett
The Sound of Music,Angela Cartwright
Pulp Fiction,Angela Jones
Cinema Paradiso,Angela Leontini
Forrest Gump,Angela Lomas
Inception,Angela Nathenson
Groundhog Day,Angela Paton
Goodfellas,Angela Pietropinto
The Treasure of the Sierra Madre,Ángela Rodríguez
Catch Me If You Can,Angela Sorensen
The Sixth Sense,Angelica Page
Ford v Ferrari,Angelo Dibello
Once Upon a Time in America,Angelo Florio
The Godfather,Angelo Infanti
Raging Bull,Angelo Lamonea
No Country for Old Men,Angelo Martinez
"The Good, the Bad and the Ugly",Angelo Novi
Spider-Man: Across the Spider-Verse,Angelo Sekou Kouyate
Cinema Paradiso,Angelo Tosto
Singin' in the Rain,Angi O. Poulos
Spider-Man: No Way Home,Angourie Rice
Pirates of the Caribbean: The Curse of the Black Pearl,Angus Barnett
The Great Escape,Angus Lennie
